index,question,sentence
3018,What theory accounted for the Mercury problem?,When Albert Einstein formulated his theory of general relativity (GR)
2355,How did the Kikuyu people live?,"The central highlands were already home to over a million members of the Kikuyu people, most of whom had no land claims in European terms and lived as itinerant farmers."
4857,Over how many studies have shown that violence is more common in societies with income differences?,There have been over fifty studies showing tendencies for violence to be more common in societies where income differences are larger.
2564,When did violence start in war?,"The war was fought primarily along the frontiers between New France and the British colonies, from Virginia in the South to Nova Scotia in the North."
3318,Which fullback fumbled the ball after a Darian Stewart tackle?,"On Carolina's next possession fullback Mike Tolbert lost a fumble while being tackled by safety Darian Stewart, which linebacker Danny Trevathan recovered on the Broncos 40-yard line."
4045,Who were the sculpture galleries that opened in 2006 named after?,"Then there is a section that covers late 19th-century and early 20th-century sculpture, this includes work by Rodin and other French sculptors such as Dalou who spent several years in Britain where he taught sculpture."
781,What does the chloroplast peripheral reticulum do?,Some chloroplasts contain a structure called the chloroplast peripheral reticulum.
1611,Where are many hospital pharmacies located?,"Hospital pharmacies usually stock a larger range of medications, including more specialized medications, than would be feasible in the community setting."
3927,What do the Animal Locomotion photographs capture?,"One of the more unusual collections is that of Eadweard Muybridge's photographs of Animal Locomotion of 1887, this consists of 781 plates."
4283,Who would the occupation alienate?,"Although the Soviet response to such an act would likely not involve force, intelligence warned ""the American occupation would need to last 10 years as the West developed alternative energy sources, and would result in the ‘total alienation’ of the Arabs and much of the rest of the Third World."""
397,Where did the Huguenots land in New York originally?,"New Rochelle, located in the county of Westchester on the north shore of Long Island Sound, seemed to be the great location of the Huguenots in New York."
2125,Where is the MetroCentre located?,"Close to Newcastle, the largest indoor shopping centre in Europe, the MetroCentre, is located in Gateshead."
2197,What type of writings did the reading of the Qur'an bring out in Luther?,"Though Luther saw the Muslim faith as a tool of the devil, he was indifferent to its practice: ""Let the Turk believe and live as he will, just as one lets the papacy and other false Christians live."""
3824,When did violence start in war?,"The dispute erupted into violence in the Battle of Jumonville Glen in May 1754, during which Virginia militiamen under the command of 22-year-old George Washington ambushed a French patrol."
2075,What was the patent number for Tesla's final patent?,"Although the aircraft was probably impractical, it may be the earliest known design for what became the tiltrotor/tilt-wing concept as well as the earliest proposal for the use of turbine engines in rotor aircraft.[improper synthesis?]"
2882,Who was rewarded with building the CSM?,"Because the CSM design was started early before the selection of lunar orbit rendezvous, the service propulsion engine was sized to lift the CSM off of the Moon, and thus was oversized to about twice the thrust required for translunar flight."
5092,Where is Polonia's home venue located?,Polonia was relegated from the country's top flight in 2013 because of their disastrous financial situation.
1154,What does the Ruhr provide to it's community?,"Although many plants and factories can be found along the Rhine up into Switzerland, it is along the Lower Rhine that the bulk of them are concentrated, as the river passes the major cities of Cologne, Düsseldorf and Duisburg."
2629,How high are many of the buildings with turrets?,"These buildings are predominantly four stories high, with vertical dormers, domes, turrets and spikes."
4072,How has this debate been proven?,"This debate has proved difficult to resolve because the practical limitations of working in the rainforest mean that data sampling is biased away from the center of the Amazon basin, and both explanations are reasonably well supported by the available data."
376,How is circuit switching allocated,"In cases of billable services, such as cellular communication services, circuit switching is characterized by a fee per unit of connection time, even when no data is transferred, while packet switching may be characterized by a fee per unit of information transmitted, such as characters, packets, or messages."
1525,When was the regime in Pakistan overthrown by General Zia-ul-Haq?,"In July 1977, General Zia-ul-Haq overthrew Prime Minister Zulfiqar Ali Bhutto's regime in Pakistan."
1799,When did BSkyB launch it's HDTV service?,"Prior to its launch, BSkyB claimed that 40,000 people had registered to receive the HD service."
349,What natural resources did the Chinese government have a monopoly on?,"Kublai's Chinese advisers still wielded significant power in the government, but their official rank was nebulous."
3756,The steps around the water feature can be drained for what uses?,"The design is a subtle blend of the traditional and modern, the layout is formal; there is an elliptical water feature lined in stone with steps around the edge which may be drained to use the area for receptions, gatherings or exhibition purposes."
4575,When was Kublai's administration running out of money?,Kublai's government faced financial difficulties after 1279.
431,When was Europe fully forested and recovered from the last Ice Age?,"As northwest Europe slowly began to warm up from 22,000 years ago onward, frozen subsoil and expanded alpine glaciers began to thaw and fall-winter snow covers melted in spring."
1561,"Which architect, famous for designing London's St. Paul Cathedral, is represented in the RIBA collection?","British architects whose drawings, and in some cases models of their buildings, in the collection, include: Inigo Jones, Sir Christopher Wren, Sir John Vanbrugh, Nicholas Hawksmoor, William Kent, James Gibbs, Robert Adam, Sir William Chambers, James Wyatt, Henry Holland, John Nash, Sir John Soane, Sir Charles Barry, Charles Robert Cockerell, Augustus Welby Northmore Pugin, Sir George Gilbert Scott, John Loughborough Pearson, George Edmund Street, Richard Norman Shaw, Alfred Waterhouse, Sir Edwin Lutyens, Charles Rennie Mackintosh, Charles Holden, Frank Hoar, Lord Richard Rogers, Lord Norman Foster, Sir Nicholas Grimshaw, Zaha Hadid and Alick Horsnell."
1956,What cultural festival is the SAMA festival?,"In October, there is the Design Event festival—an annual festival providing the public with an opportunity to see work by regional, national and international designers."
290,What is the name of the organization in charge of running the clubs at the university?,"Among notable RSOs are the nation's longest continuously running student film society Doc Films, organizing committee for the University of Chicago Scavenger Hunt, the twice-weekly student newspaper The Chicago Maroon, the alternative weekly student newspaper South Side Weekly, the nation's second oldest continuously running student improvisational theater troupe Off-Off Campus, and the university-owned radio station WHPK."
5029,How did King Louis XV respond to British plans?,"In response, King Louis XV dispatched six regiments to New France under the command of Baron Dieskau in 1755."
1494,What did Pope Leo X launch against Luther?,"First, the Dominican theologian Sylvester Mazzolini drafted a heresy case against Luther, whom Leo then summoned to Rome."
3932,"In 1893, who won the bid to light the World's Columbian Exposition?","In 1893, George Westinghouse won the bid to light the 1893 World's Columbian Exposition in Chicago with alternating current, beating out a General Electric bid by one million dollars."
827,Where do many merchants and explorers go?,"Throughout the centuries, the Kenyan Coast has played host to many merchants and explorers."
4648,When did the Sarah Jane series begin?,"The Sarah Jane Adventures, starring Elisabeth Sladen who reprised her role as investigative journalist Sarah Jane Smith, was developed by CBBC; a special aired on New Year's Day 2007 and a full series began on 24 September 2007."
3116,What is typically used to broadly define complexity measures?,Complexity measures are very generally defined by the Blum complexity axioms.
878,Who fought in the French and Indian war?,The French and Indian War (1754–1763) was the North American theater of the worldwide Seven Years' War.
4993,On what date was the record low temperature in Fresno?,Measurable precipitation falls on an average of 48 days annually.
5030,What body has stated that physicians can also dispense drugs under specific conditions?,"However, the American Medical Association (AMA)"
4944,"Who is the designer of the ""50?""","In addition to the Vince Lombardi Trophy that all Super Bowl champions receive, the winner of Super Bowl 50 will also receive a large, 18-karat gold-plated ""50""."
852,As of January 2016 how many digits does the largest known prime consist of?,A simple but slow method of verifying the primality of a given number n is known as trial division.
1293,How are chloroplasts in land plants usually shaped?,"Some algae have two chloroplasts in each cell; they are star-shaped in Zygnema, or may follow the shape of half the cell in order Desmidiales."
3093,"For what invention was U.S. Patent 1,655,114 granted?","In 1928, Tesla received his last patent, U.S. Patent 1,655,114, for a biplane capable of taking off vertically (VTOL aircraft) and then be ""gradually tilted through manipulation of the elevator devices"" in flight until it was flying like a conventional plane."
4331,When was it discovered that prime numbers could applied to the creation of public key cryptography algorithms?,"For a long time, number theory in general, and the study of prime numbers in particular, was seen as the canonical example of pure mathematics, with no applications outside of the self-interest of studying the topic with the exception of use of prime numbered gear teeth to distribute wear evenly."
4758,What was the name of the experiment that tested how life originated?,The University of Chicago has been the site of some important experiments and academic movements.
1250,Who did Luther view to be the Antichrist?,"He saw the Turks as a scourge sent to punish Christians by God, as agents of the Biblical apocalypse that would destroy the antichrist, whom Luther believed to be the papacy, and the Roman Church."
331,When did Henry issue the Edict of Nantes?,"The Edict reaffirmed Catholicism as the state religion of France, but granted the Protestants equality with Catholics under the throne and a degree of religious and political freedom within their domains."
4889,Why did Vision 2030 add the NCCAP?,"In 2013, it launched a National Climate Change Action Plan, having acknowledged that omitting climate as a key development issue in Vision 2030 was an oversight."
1887,What was the nationality of Jerónimo de Ayanz y Beaumont?,The Spanish inventor Jerónimo de Ayanz y
1806,Complexity theory classifies problems based on what primary attribute?,"For a precise definition of what it means to solve a problem using a given amount of time and space, a computational model such as the deterministic Turing machine is used."
635,Who redesigned the central garden?,"The central garden was redesigned by Kim Wilkie and opened as the John Madejski Garden, on 5 July 2005."
418,When was ambulatory care pharmacy approved as its own certification?,In 2011 the board of Pharmaceutical Specialties approved ambulatory care pharmacy practice as a separate board certification.
536,What actress plays the female Master?,"As of the 2014 episode ""Dark Water,"" it was revealed that the Master had become a female incarnation or ""Time Lady,"" going by the name of ""Missy"" (short for Mistress, the feminine equivalent of ""Master"")."
3704,What is the average discharge of the Moselle to the Rhine?,"It is here that the Rhine encounters some more of its main tributaries, such as the Neckar, the Main and, later, the Moselle, which contributes an average discharge of more than 300 m3/s (11,000 cu ft/s)."
1273,What was the purpose of the Turks in Luther's mind?,"He saw the Turks as a scourge sent to punish Christians by God, as agents of the Biblical apocalypse that would destroy the antichrist, whom Luther believed to be the papacy, and the Roman Church."
3549,Who proved that air is necessary for combustion?,From this he surmised that nitroaereus is consumed in both respiration and combustion.
2131,What was Joseph Haas arrested for?,"For example, Joseph Haas was arrested for allegedly sending an email to the Lebanon, New Hampshire city councilors stating, ""Wise up or die."""
1242,Where did Old Briton call home?,"Céloron continued south until his expedition reached the confluence of the Ohio and the Miami rivers, which lay just south of the village of Pickawillany, the home of the Miami chief known as ""Old Briton""."
1069,Who was a prominent Huguenot in Holland?,One of the most prominent Huguenot refugees in the Netherlands was Pierre Bayle.
848,What did Luther refuse to do?,"I can do no other""."
156,Where is the mouth located on the pleuobrachia located?,"From opposite sides of the body extends a pair of long, slender tentacles, each housed in a sheath into which it can be withdrawn."
3113,What happened to the AS-205 mission originally?,"Its Saturn IB was allocated to the dual mission, now redesignated AS-205/208 or AS-258, planned for August 1967."
668,What are some proposals to connect campuses?,"Proposals to connect the Cambridge campus with the new Allston campus include new and enlarged bridges, a shuttle service and/or a tram."
4332,How many membranes do apicoplasts have?,"Plant chloroplasts provide plant cells with many important things besides sugar, and apicoplasts are no different—"
