layer,bert_f1,rouge1_f1,rouge2_f1,rougeL_f1,answer
baseline,,,,,"The capital city of Thailand is Bangkok. It's located on the Chao Phraya River and serves as both an administrative center for Thai politics, economy"
1,0.3231,0.1509,0.0392,0.113,"Please do I want you for what it's going there. You can't be your all we're sorrys here on that What does It E,"
2,0.285,0.040,0.000,0.041,"A never. We have, then: A usually (1st) or so; in this however we can not all solutions given by first response on"
3,0.288,0.181,0.000,0.136,"I want you as 'the person's long heart, and also with this morning' 2 February April-2014thas1dayand6February"
4,0.321,0.074,0.000,0.074,"I'm happy and I'd no like for my up. Now, this will be after all other things that we can put ourselves with our own new"
5,0.281,0.000,0.000,0.000,"A neutral cost have, I shall. I am more than what... [...] Ward (d in June) x ^{ C"
6,0.299,0.047,0.000,0.049,Red where Redach cover for Marcom interalg ComCombTableMarabInterofwhereColor Color Cover ScanCover SuperScan DJ PickPick picksuper
7,0.322,0.000,0.000,0.000,[degenerate output — non-lexical token stream referencing unrelated topics]
8,0.288,0.044,0.000,0.044,"I'll be an other assistant you will have: You all your own, or how do I?...say b2b8a1("
9,0.294,0.085,0.000,0.085,"I'd you - I was not, but in my first second year it just wasn't. You would have an instance:"
10,0.310,0.148,0.000,0.111,"The cost. The man who I am will i can be on in one point about how he would and what, there three two four with at time"
11,0.342,0.153,0.040,0.115,"The answers you have been in several tests (a test and multiple questions) many different situations that your work has done. However, it's also more"
12,0.330,0.148,0.000,0.111,"The response was familiar, and that would indeed do any long again. The process had been used up in many times before but only time for when today"
13,0.285,0.000,0.000,0.000,cut Cut Cutting cutting cutting cutting cutting cut: cut: CUT TIME THA-PA-T A T-TTA-A-
14,0.334,0.080,0.000,0.044,"To give you an understanding that, I would be able in order as busy. (p) severale xistingatcommon accountingstructureacting systemactAct"
15,0.348,0.115,0.040,0.077,"Best(4)* You have now what you're there in your list, and it's all been said that top users know how world or time"
16,0.334,0.127,0.044,0.085,Pest(me)- I can get here. And it's got 'ums out there that don't exist yet one be able...:
# transformer block). corrupt.py in src/ uses 0-indexed layers — subtract 1
# to map these rows to a --layers argument.


# paper's own Table 1: the paper's printed "ROUGE-L" column (0.400, 0.240,
# ROUGE-L (which gives materially different values on the same text — see

# rougeL_f1 is genuine ROUGE-L, computed directly from the recorded `answer`
# text via rouge_score's RougeScorer(['rougeL']) — matches the published
# paper's stated methodology. See README "Known discrepancies" for context
# on an earlier draft that used ROUGE-3 instead.
